1,jkinforth0,jkinforth0@amazonaws.com,50-51-EB-23-4E-86,1,6625,3550837210055169,2000,6
2,agoldwater1,agoldwater1@lycos.com,0A-1F-0E-A1-82-FC,2,6000,2014415341857593,2023,5
3,anewby2,anewby2@bandcamp.com,F0-09-C4-96-14-8E,15,3606,5010122166844596,2025,1
4,cvales3,cvales3@theatlantic.com,B3-BB-B0-7A-E1-C4,3,1084,3540468079556619,2022,2
5,lcapell4,lcapell4@omniture.com,13-85-81-1C-31-94,4,1146,3572520960139698,2021,1
6,mridler5,mridler5@creativecommons.org,5F-53-1D-F5-5C-2B,5,4152,5150938709782427,2023,12
7,kyanson6,kyanson6@desdev.cn,A6-13-0C-69-76-43,6,4253,6761235887192321,2010,3
8,cgrigolli7,cgrigolli7@hatena.ne.jp,3E-BD-57-DD-59-13,7,3517,3539113635782134,2025,9
9,akix8,akix8@ezinearticles.com,F3-9A-2D-66-30-18,8,4897,3550575031992661,2018,8
10,abartosik9,abartosik9@ebay.com,EC-60-02-05-B8-29,9,7914,3576304045255217,2021,12
11,bbertomeua,bbertomeua@wired.com,C9-D2-00-C7-DF-D2,10,2332,3581888219785846,2022,6
12,apellewb,apellewb@biglobe.ne.jp,86-52-3D-97-8E-2D,11,2635,3546394589273574,2023,1
13,cdeathec,cdeathec@homestead.com,35-3D-CE-FD-8C-BB,12,9329,3535629778538060,2022,4
14,bfacchinid,bfacchinid@pcworld.com,AA-68-11-15-48-98,13,6433,3549730303502748,2020,11
15,iwhissone,iwhissone@typepad.com,A4-07-B0-D3-E9-80,14,3582,3580111806933831,2019,5
16,rbremmellf,rbremmellf@berkeley.edu,AB-8A-FE-01-91-6D,17,1331,4913417944129224,2024,9
17,tmilwardg,tmilwardg@bloglovin.com,DB-CA-B8-CD-58-55,16,2726,3539433727655224,2020,5
18,pgoaleyh,pgoaleyh@mlb.com,58-E2-94-3E-B6-E8,18,6530,3576735486259079,2021,8
19,tpirkisi,tpirkisi@nifty.com,16-F1-9B-F3-AB-ED,19,2991,3556946947635443,2022,6
20,ekillickj,ekillickj@ow.ly,74-D0-75-1A-9B-CB,20,2765,3563516284532320,2023,7
21,agirodierk,agirodierk@bravesites.com,CA-76-0D-3F-5E-FC,21,3149,5602220516431060,2024,3
22,aamiesl,aamiesl@state.gov,9E-37-A1-D0-82-34,22,7904,5610966412580394,2020,2
23,grecherm,grecherm@freewebs.com,DB-55-17-79-1D-A7,23,2177,3574324076606114,2025,8
24,smacgilrewyn,smacgilrewyn@hostgator.com,E3-C0-95-D7-9F-9C,24,4870,6759231946232956,2023,11
25,hlefevreo,hlefevreo@hubpages.com,ED-A4-EA-E7-73-E8,25,7373,3579264601207985,2023,5
26,italboyp,italboyp@goo.ne.jp,D1-7F-6E-D0-F2-2E,26,6027,3529203576557801,2024,9
27,mgrowyq,mgrowyq@deliciousdays.com,36-60-DB-9B-00-1F,27,8278,2017887038147040,2021,12
28,ahissettr,ahissettr@foxnews.com,B3-82-54-97-CF-BB,28,4449,6763185477829009,2023,5
29,gpenddreths,gpenddreths@t-online.de,74-DF-2A-3A-1C-5C,29,4602,6334481396631675,2022,2
